areasymbol	musym	muname	MUKEY	dom_cond_order	dom_cond_pct_order	dom_cond_suborder	dom_cond_pct_suborder
WI001	Ad	Adrian muck	422917	Histosols	100	Saprists	100
WI001	AlA	"Algansee loamy sand, 0 to 3 percent slopes"	422918	Entisols	100	Psamments	100
WI001	An	"Aquents, sandy"	422919	Entisols	100	Aquents	100
WI001	Au	Au Gres loamy sand	422920	Spodosols	100	Aquods	100
WI001	BlA	"Billett sandy loam, 0 to 3 percent slopes"	422921	Alfisols	100	Udalfs	100
WI001	BnB	"Boone sand, 2 to 6 percent slopes"	422922	Entisols	100	Psamments	100
WI001	BnC	"Boone sand, 6 to 12 percent slopes"	422923	Entisols	100	Psamments	100
WI001	BnD	"Boone sand, 12 to 25 percent slopes"	422924	Entisols	100	Psamments	100
WI001	BpF	"Boone-Rock outcrop complex, 25 to 45 percent slopes"	422925	Entisols	60	Psamments	60
WI001	BrA	"Brems loamy sand, 0 to 3 percent slopes"	422926	Entisols	100	Psamments	100
WI001	BsA	"Brems-Newson loamy sands, 0 to 3 percent slopes"	422927	Entisols	100	Psamments	55
WI001	BtB	"Briggsville silt loam, 2 to 6 percent slopes"	422928	Alfisols	100	Udalfs	100
WI001	CoB	"Coloma sand, 2 to 6 percent slopes"	422929	Entisols	100	Psamments	100
WI001	CoC	"Coloma sand, 6 to 12 percent slopes"	422930	Entisols	100	Psamments	100
WI001	CoD	"Coloma sand, 12 to 25 percent slopes"	422931	Entisols	100	Psamments	100
WI001	DeA	"Delton sand, 0 to 2 percent slopes"	422932	Alfisols	100	Udalfs	100
WI001	DeB	"Delton sand, 2 to 6 percent slopes"	422933	Alfisols	100	Udalfs	100
WI001	DeC	"Delton sand, 6 to 15 percent slopes"	422934	Alfisols	100	Udalfs	100
WI001	DsA	"Delton sand, sandy substratum, 0 to 3 percent slopes"	422935	Alfisols	100	Udalfs	100
WI001	EvB	"Elkmound loamy sand, 2 to 6 percent slopes"	422936	Inceptisols	100	Ochrepts	100
WI001	Fv	Fisk loamy sand	422937	Inceptisols	100	Ochrepts	100
WI001	GaB	"Gale silt loam, 2 to 6 percent slopes"	422938	Alfisols	100	Udalfs	100
WI001	GaC2	"Gale silt loam, 6 to 12 percent slopes, eroded"	422939	Alfisols	100	Udalfs	100
WI001	GrB	"Grays silt loam, 2 to 6 percent slopes"	422940	Alfisols	100	Udalfs	100
WI001	GrC	"Grays silt loam, 6 to 12 percent slopes"	422941	Alfisols	100	Udalfs	100
WI001	Hm	Houghton muck	422942	Histosols	100	Saprists	100
WI001	KnB	"Kewaunee silt loam, 2 to 6 percent slopes"	422943	Alfisols	97	Udalfs	97
WI001	KnC	"Kewaunee silt loam, 6 to 12 percent slopes"	422944	Alfisols	100	Udalfs	100
WI001	KnD2	"Kewaunee silt loam, 12 to 20 percent slopes, eroded"	422945	Alfisols	100	Udalfs	100
WI001	KsA	"Kibbie silt loam, 0 to 3 percent slopes"	422946	Alfisols	100	Udalfs	100
WI001	LDF	Landfill	1400490		100		100
WI001	Le	Leola loamy sand	422947	Alfisols	100	Udalfs	100
WI001	M-W	Miscellaneous water	1400491		100		100
WI001	MbA	"Manawa silt loam, 0 to 3 percent slopes"	422948	Alfisols	93	Udalfs	93
WI001	MoA	"Meehan loamy sand, 0 to 3 percent slopes"	422949	Entisols	100	Psamments	100
WI001	Ne	Newson loamy sand	422950	Entisols	100	Aquents	100
WI001	OkB	"Okee loamy sand, 2 to 6 percent slopes"	422951	Alfisols	100	Udalfs	100
WI001	OkC	"Okee loamy sand, 6 to 12 percent slopes"	422952	Alfisols	100	Udalfs	100
WI001	OkD	"Okee loamy sand, 12 to 25 percent slopes"	422953	Alfisols	100	Udalfs	100
WI001	Pa	"Palms muck, 0 to 2 percent slopes"	422954	Histosols	87	Saprists	87
WI001	Pd	Pits	422955		100		100
WI001	PfA	"Plainfield sand, 0 to 2 percent slopes"	422956	Entisols	98	Psamments	98
WI001	PfAT	"Plainfield sand, till plain, 0 to 2 percent slopes"	2856646	Entisols	85	Psamments	85
WI001	PfB	"Plainfield sand, 2 to 6 percent slopes"	422957	Entisols	98	Psamments	98
WI001	PfBT	"Plainfield sand, till plain, 2 to 6 percent slopes"	2861387	Entisols	85	Psamments	85
WI001	PfC	"Plainfield sand, 6 to 12  percent slopes"	422958	Entisols	98	Psamments	98
WI001	PfCT	"Plainfield sand, till plain, 6 to 12 percent slopes"	2861389	Entisols	90	Psamments	90
WI001	PfD	"Plainfield sand, 12 to 35 percent slopes"	422959	Entisols	96	Psamments	96
WI001	PfDT	"Plainfield sand, till plain, 12 to 30 percent slopes"	2861391	Entisols	90	Psamments	90
WI001	Ps	"Poygan silty clay loam, 0 to 2 percent slopes, drained"	422960	Mollisols	85	Aquolls	85
WI001	Pw	"Psammaquents, nearly level"	1400492	Entisols	100	Aquents	100
WI001	QUA	Quarry	1400493		100		100
WI001	RfA	"Richford loamy sand, 0 to 2 percent slopes"	422961	Alfisols	100	Udalfs	100
WI001	RfB	"Richford loamy sand, 2 to 6 percent slopes"	422962	Alfisols	100	Udalfs	100
WI001	RfC	"Richford loamy sand, 6 to 12 percent slopes"	422963	Alfisols	100	Udalfs	100
WI001	SoB	"Sisson fine sandy loam, 2 to 6 percent slopes"	422964	Alfisols	100	Udalfs	100
WI001	SpA	"Sparta loamy sand, 0 to 3 percent slopes"	422965	Mollisols	100	Udolls	100
